aya_id,page,x,y
1049,162,82,1076
1050,163,530,234
1051,163,480,304
1052,163,334,374
1053,163,193,443
1054,163,85,583
1055,163,201,795
1056,163,84,866
1057,163,84,1006
1058,163,85,1076
1059,164,256,164
1060,164,153,233
1061,164,365,304
1062,164,585,373
1063,164,82,444
1064,164,629,444
1065,164,150,514
1066,164,452,585
1067,164,304,655
1068,164,519,726
1069,164,417,798
1070,164,82,865
1071,164,82,935
1072,164,172,1007
1073,164,83,1075
1074,164,397,1076
1075,165,402,92
1076,165,130,93
1077,165,83,235
1078,165,235,374
1079,165,597,374
1080,165,500,514
1081,165,83,655
1082,165,84,794
1083,165,392,1007
1084,165,84,1075
1085,166,307,229
1086,166,177,300
1087,166,86,440
1088,166,354,650
1089,166,207,720
1090,166,596,861
1091,166,86,1073
1092,167,258,232
1093,167,230,303
1094,167,215,373
1095,167,461,584
1096,167,463,794
1097,167,82,1075
1098,168,221,162
1099,168,518,373
1100,168,371,653
1101,168,540,794
1102,168,86,934
1103,168,86,1074
1104,169,579,374
1105,169,456,444
1106,169,560,585
1107,169,83,655
1108,169,255,796
1109,169,85,1076
1110,170,260,302
1111,170,86,721
1112,170,144,1001
1113,170,87,1071
1114,171,86,444
1115,171,86,653
1116,171,545,865
1117,171,85,1074
1118,172,85,162
1119,172,85,303
1120,172,85,372
1121,172,84,513
1122,172,572,725
1123,172,300,1004
1124,172,84,1074
1125,173,83,164
1126,173,298,375
1127,173,474,513
1128,173,590,584
1129,173,206,654
1130,173,343,934
1131,173,230,1005
1132,173,83,1074
1133,174,136,233
1134,174,415,374
1135,174,539,444
1136,174,465,513
1137,174,132,514
1138,174,84,583
1139,174,518,795
1140,174,434,865
1141,174,84,1076
1142,175,288,232
1143,175,84,444
1144,175,84,583
1145,175,524,583
1146,175,84,653
1147,175,503,795
1148,175,584,935
1149,175,84,1075
1150,176,82,94
1151,176,439,233
1152,176,229,305
1153,176,262,375
1154,176,115,445
1155,176,483,586
1156,176,552,655
1157,176,315,795
1158,176,210,866
1159,176,304,1007
1160,176,82,1077
1161,177,590,372
1162,177,557,514
1163,177,595,584
1164,177,314,656
1165,177,82,725
1166,177,532,865
1167,177,82,1004
1168,177,83,1072
1169,178,399,158
1170,178,550,299
1171,178,85,440
1172,178,222,651
1173,178,500,791
1174,178,523,862
1175,178,279,931
1176,178,85,1072
1177,179,435,235
1178,179,550,304
1179,179,84,444
1180,179,506,583
1181,179,558,652
1182,179,470,726
1183,179,262,795
1184,179,552,1008
1185,179,83,1076
1186,180,295,234
1187,180,84,304
1188,180,461,446
1189,180,242,585
1190,180,269,725
1191,180,442,865
1192,180,447,1004
1193,180,84,1074
1194,181,329,232
1195,181,398,374
1196,181,527,584
1197,181,235,724
1198,181,308,866
1199,181,212,1007
1200,181,86,1074
1201,182,114,303
1202,182,517,654
1203,182,129,795
1204,182,514,1006
1205,182,86,1076
1206,183,198,161
1207,183,172,302
1208,183,172,582
1209,183,132,722
1210,183,166,863
1211,183,81,932
1212,183,81,1072
1213,184,209,161
1214,184,84,300
