aya_id,page,x,y
775,124,751,569
776,124,696,662
777,124,569,754
778,124,630,939
779,124,112,1124
780,124,226,1217
781,124,108,1402
782,125,662,292
783,125,487,477
784,125,250,939
785,125,290,1217
786,125,110,1401
787,126,550,199
788,126,670,939
789,126,110,1032
790,126,788,1309
791,126,108,1402
792,127,733,292
793,127,105,384
794,127,276,754
795,127,524,1032
796,127,401,1124
797,127,144,1310
798,127,104,1402
799,128,352,395
800,128,829,395
801,128,794,579
802,128,437,670
803,128,366,763
804,128,108,853
805,128,741,1219
806,128,247,1310
807,128,113,1401
808,129,791,199
809,129,275,292
810,129,107,384
811,129,192,662
812,129,164,754
813,129,482,1032
814,129,611,1124
815,129,622,1217
816,129,106,1309
817,129,106,1402
818,130,777,384
819,130,411,477
820,130,170,569
821,130,797,754
822,130,778,847
823,130,814,939
824,130,668,1217
825,130,562,1309
826,130,108,1402
827,131,671,199
828,131,763,292
829,131,108,384
830,131,475,662
831,131,108,755
832,131,361,939
833,131,110,1124
834,131,108,1402
835,132,783,199
836,132,160,292
837,132,102,477
838,132,288,662
839,132,618,847
840,132,314,939
841,132,764,1124
842,132,170,1217
843,132,102,1402
844,133,108,107
845,133,661,384
846,133,195,477
847,133,440,662
848,133,351,755
849,133,673,1032
850,133,108,1124
851,133,108,1402
852,134,173,199
853,134,108,478
854,134,108,569
855,134,108,754
856,134,770,1032
857,134,254,1124
858,134,107,1402
859,135,543,292
860,135,707,477
861,135,648,569
862,135,758,754
863,135,793,847
864,135,223,1032
865,135,597,1217
866,135,111,1402
867,136,541,199
868,136,370,662
869,136,108,1032
870,136,108,1124
871,136,665,1310
872,136,108,1402
873,137,463,199
874,137,108,292
875,137,594,477
876,137,767,662
877,137,108,754
878,137,456,939
879,137,718,1217
880,137,110,1402
881,138,685,200
882,138,106,292
883,138,109,569
884,138,106,662
885,138,750,847
886,138,427,939
887,138,775,1124
888,138,714,1309
889,138,107,1402
890,139,808,477
891,139,330,662
892,139,383,1124
893,139,109,1402
894,140,307,199
895,140,717,384
896,140,108,477
897,140,397,662
898,140,626,1124
899,140,108,1217
900,140,110,1402
901,141,510,199
902,141,310,292
903,141,535,477
904,141,326,569
905,141,109,662
906,141,520,847
907,141,106,1032
908,141,725,1309
909,141,109,1402
910,142,532,292
911,142,813,569
912,142,360,662
913,142,446,939
914,142,108,1032
915,142,311,1217
916,142,230,1309
917,142,107,1402
918,143,103,292
919,143,422,477
920,143,109,662
921,143,381,940
922,143,335,1124
923,143,106,1401
924,144,759,385
925,144,555,477
926,144,455,570
927,144,315,940
928,144,108,1032
929,144,110,1402
930,145,749,200
931,145,518,292
932,145,108,477
933,145,273,570
934,145,108,752
935,145,300,1125
936,145,108,1402
937,146,787,385
938,146,824,662
939,146,505,847
940,146,348,1217
941,146,107,1402
942,147,105,292
943,147,319,755
944,147,498,1124
945,147,105,1402
946,148,494,200
947,148,490,570
948,148,449,662
949,148,186,939
950,148,108,1402
951,149,110,385
952,149,777,662
953,149,707,847
954,149,564,940
955,149,110,1032
956,149,110,1402
957,150,735,385
958,150,107,477
959,150,393,662
960,150,633,754
961,150,703,847
962,150,107,940
963,150,743,940
964,150,403,1217
965,150,107,1402
966,151,447,395
967,151,107,487
968,151,811,670
969,151,643,761
970,151,109,853
971,151,745,854
972,151,766,1036
973,151,372,1127
974,151,107,1219
975,151,106,1401
976,152,690,199
977,152,109,292
978,152,521,292
979,152,607,384
980,152,752,477
981,152,242,569
982,152,794,754
983,152,221,847
984,152,109,1124
985,152,647,1124
986,152,109,1402
987,153,708,199
988,153,424,292
989,153,590,384
990,153,459,569
991,153,108,847
992,153,108,1032
993,153,108,1402
994,154,414,199
995,154,716,477
996,154,219,662
997,154,106,754
998,154,208,940
999,154,781,1124
1000,154,106,1402
1001,155,105,384
1002,155,627,385
1003,155,270,570
1004,155,662,847
1005,155,532,939
1006,155,714,1124
1007,155,105,1402
1008,156,362,292
1009,156,228,384
1010,156,108,569
1011,156,648,754
1012,156,107,847
1013,156,455,1032
1014,156,460,1217
1015,156,102,1404
1016,157,723,199
1017,157,785,569
1018,157,109,847
1019,157,109,939
1020,157,377,1126
1021,157,865,1242
1022,157,109,1402
1023,158,110,199
1024,158,110,384
1025,158,238,477
1026,158,107,569
1027,158,421,688
1028,158,710,754
1029,158,106,847
1030,158,198,1032
1031,158,626,1217
1032,158,106,1309
1033,158,105,1402
1034,159,313,107
1035,159,108,384
1036,159,108,569
1037,159,703,939
1038,159,108,1032
1039,159,108,1402
1040,160,726,385
1041,160,750,662
1042,160,528,754
1043,160,705,939
1044,160,769,1032
1045,160,108,1124
1046,160,492,1309
1047,160,104,1402
1048,161,286,199
1049,161,269,292
1050,161,110,385
1051,161,180,847
1052,161,588,1217
1053,161,110,1402
1054,162,711,292
1055,162,278,570
1056,162,105,754
1057,162,788,754
1058,162,628,939
1059,162,752,1124
1060,162,248,1217
1061,162,112,1402
1062,163,733,292
1063,163,580,384
1064,163,408,476
1065,163,267,569
1066,163,106,754
1067,163,178,1032
1068,163,107,1124
1069,163,108,1309
1070,163,108,1402
1071,164,336,199
1072,164,198,292
1073,164,487,384
1074,164,752,477
1075,164,108,569
1076,164,842,569
1077,164,217,662
1078,164,607,754
1079,164,403,847
1080,164,651,939
1081,164,556,1032
1082,164,108,1124
1083,164,216,1309
1084,164,769,1309
1085,164,108,1402
1086,164,527,1402
1087,165,179,107
1088,165,491,107
1089,165,111,292
1090,165,337,477
1091,165,793,477
1092,165,671,662
1093,165,113,847
1094,165,113,1032
1095,165,539,1310
1096,165,113,1402
1097,166,449,292
1098,166,234,385
1099,166,108,570
1100,166,451,847
1101,166,240,940
1102,166,687,1125
1103,166,418,1310
1104,166,108,1402
1105,167,335,292
1106,167,331,385
1107,167,307,477
1108,167,627,754
1109,167,636,1032
1110,167,105,1402
1111,168,272,199
1112,168,702,477
1113,168,513,847
1114,168,765,1032
1115,168,107,1217
1116,168,107,1402
1117,169,767,477
1118,169,604,570
1119,169,707,755
1120,169,108,847
1121,169,327,1032
1122,169,108,1402
1123,170,321,385
1124,170,106,940
1125,170,182,1310
1126,170,107,1402
1127,171,110,569
1128,171,110,847
1129,171,719,1124
1130,171,111,1402
1131,172,110,199
1132,172,107,385
1133,172,107,477
1134,172,107,662
1135,172,775,940
1136,172,391,1310
1137,172,106,1402
1138,173,107,199
1139,173,438,477
1140,173,643,662
1141,173,783,755
1142,173,253,847
1143,173,473,1217
1144,173,280,1310
1145,173,108,1402
1146,174,107,292
1147,174,301,477
1148,174,443,569
1149,174,341,662
1150,174,708,755
1151,174,710,847
1152,174,511,1032
1153,174,469,1125
1154,174,106,1402
1155,175,388,292
1156,175,110,570
1157,175,109,754
1158,175,705,754
1159,175,294,847
1160,175,648,1032
1161,175,785,1217
1162,175,110,1402
1163,176,109,107
1164,176,615,292
1165,176,284,385
1166,176,361,477
1167,176,157,569
1168,176,633,754
1169,176,739,847
1170,176,405,1032
1171,176,333,1124
1172,176,435,1309
1173,176,114,1402
1174,177,784,492
1175,177,725,675
1176,177,787,766
1177,177,476,858
1178,177,103,950
1179,177,716,1132
1180,177,105,1315
1181,177,105,1406
